bucket,paper_folder,title,authors,arxiv_id,date_published,s3_uri,error
new-lwfa-not-sim-1,kb-data/output/197Auγxnx1thicksim9_Reaction_Cross_Section_Measurements_using_Laser-Driven_Ultra-Intense_γ-Ray_Source,"197 Au( γ, xn ; x = 1 ∼ 9 ) Reaction Cross Section Measurements using Laser-Driven Ultra-Intense γ -Ray Source","197 Au( γ, xn ; x = 1 ∼ 9 ) Reaction Cross Section Measurements using Laser-Driven Ultra-Intense γ -Ray Source; Di Wu, 1, 2 Haoyang Lan, 1, 2 Jianyao Zhang, 1, 2 Jiaxing Liu, 1, 2 Huangang Lu, 1, 2 Jianfeng Lv, 1, 2 Xuezhi Wu, 1, 2 Hui Zhang, 1, 2 Jie Cai, 1, 2 Qianyi Ma, 1, 2 Yuhui Xia, 1, 2 Zhenan Wang, 1, 2 Meizhi Wang, 1, 2 Zhiyan Yang, 1, 2 Xinlu Xu, 1, 2 Yixing Geng, 1, 2 Yanying Zhao, 1, 2 Chen Lin, 1, 2 Wenjun Ma, 1, 2 Jinqing Yu, 3 Haoran Wang, 4 Fulong Liu, 4 Chuangye He, 4 Bing Guo, 4 Ping Zhu, 5 Guoqiang Zhang, 6 Naiyan Wang, 4 Yugang Ma, 7 and Xueqing Yan 1, 2, ∗; 1 State Key Laboratory of Nuclear Physics and Technology,",,"November 27, 2023",s3://new-lwfa-not-sim-1/kb-data/output/197Auγxnx1thicksim9_Reaction_Cross_Section_Measurements_using_Laser-Driven_Ultra-Intense_γ-Ray_Source/structured.json,
new-lwfa-not-sim-1,kb-data/output/3D_printing_of_gas_jet_nozzles_for_laser-plasma_accelerators,3D printing of gas jet nozzles for laser-plasma accelerators,"A. D¨ opp, E. Guillaume, C. Thaury, J. Gautier, K. Ta Phuoc, and V. Malka; LOA, ENSTA ParisTech - CNRS -´ Ecole Polytechnique - Universit´ e Paris-Saclay, 828 Boulevard des Mar´ echaux, 91762 Palaiseau Cedex, France; The paper is structured as follows: First, we give an overview of gas targets for laser wakefield acceleration and the most common 3D printing technologies. Then we present results using different techniques and compare their performance. Last, we discuss how 3D printed nozzles perform in experiments on laser-driven electron acceleration and what are the merits of the technology in this special field of applications.",,,s3://new-lwfa-not-sim-1/kb-data/output/3D_printing_of_gas_jet_nozzles_for_laser-plasma_accelerators/structured.json,
new-lwfa-not-sim-1,kb-data/output/A_compact_tunable_polarized_X-ray_source_based_on_laser-plasma_helical_undulators,A compact tunable polarized X-ray source based on laser-plasma helical undulators,"J. Luo 1 , 2 , M. Chen 1 , 2 ∗ , M. Zeng 1 , 2 , J. Vieira 3 , L.L. Yu 1 , 2 , S.M. Weng 1 , 2 , L.O. Silva 3 , D.A. Jaroszynski 4 , Z.M. Sheng 1 , 2 , 4 † , and J. Zhang 1 , 2; 1 Key Laboratory for Laser Plasmas (Ministry of Education) and Department of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China.; 2 Collaborative Innovation Center of IFSA (CICIFSA), Shanghai Jiao Tong University, Shanghai 200240, China.",,,s3://new-lwfa-not-sim-1/kb-data/output/A_compact_tunable_polarized_X-ray_source_based_on_laser-plasma_helical_undulators/structured.json,
new-lwfa-not-sim-1,kb-data/output/A_laser-plasma_platform_for_photon-photon_physics,A laser-plasma platform for photon-photon physics,"Kettle 1 , D. Hollatz 2 , 3 , E. Gerstmayr 1 , G.M. Samarin 4 ,; Alejo 4 , S. Astbury 5 , C. Baird 6 , S. Bohlen 7 , M. Campbell 8 ,; Colgan 1 , D. Dannheim 8 , C. Gregory 5 , H. Harsh 2 , 3 ,",0910.0974,,s3://new-lwfa-not-sim-1/kb-data/output/A_laser-plasma_platform_for_photon-photon_physics/structured.json,
new-lwfa-not-sim-1,kb-data/output/A_preliminary_analysis_for_efficient_laser_wakefield_acceleration,A preliminary analysis for efficient laser wakefield acceleration,"Dip. di Matematica ed Applicazioni, Universit` a di Napoli 'Federico II', and INFN, Sezione di Napoli,; Napoli, Italy.; where a, b are ξ H -periodic in ξ , and b has zero mean over the period ξ H ( Z ) given by (20). We study the formation of the PW and its WB where ˆ J ≤ 0 (section III), as well as the optimization of the LWFA of self-injected e -s (section IV). By causality, crucial results keep valid for realistic pulses with a finite spot size (section V) and deserve further investigations.",,,s3://new-lwfa-not-sim-1/kb-data/output/A_preliminary_analysis_for_efficient_laser_wakefield_acceleration/structured.json,
new-lwfa-not-sim-1,kb-data/output/Acceleration_of_Electrons_in_Plasma,Acceleration of Electrons in Plasma,"Proceedings of the 2019 CERN-Accelerator-School course on High Gradient Wakefield Accelerators, Sesimbra, (Portugal); University of Michigan, Ann Arbor, Michigan, U.S.A.; The main schemes of electron acceleration are divided into ""PWFA"" schemes and ""LWFA"" schemes. ""PWFA"" stands for Plasma WakeField Accelerator, but generally refers to plasma wakefields generated by particle beams specifically. ""LWFA"" stands for Laser WakeField Accelerator. These schemes also have other acronyms in the literature, including ""LPA"" and ""PWA"". The typical parameters, including",,,s3://new-lwfa-not-sim-1/kb-data/output/Acceleration_of_Electrons_in_Plasma/structured.json,
new-lwfa-not-sim-1,kb-data/output/Achieving_High_Efficiency_And_Enhanced_Beam_Quality_In_Laser_Wakefield_Acceleration,Achieving High Efficiency And Enhanced Beam Quality In Laser Wakefield Acceleration,"Jia Wang, 1, 2 Ming Zeng, 1, ∗ Dazhang Li, 1, † Wentao Wang, 2, ‡ Song Li, 2 Ke Feng, 2 and Jie Gao 1; 1 Institute of High Energy Physics, Chinese Academy of Sciences, Beijing 100049, China; State Key Laboratory of High Field Laser Physics and CAS Center for Excellence in Ultra-intense Laser Science, Shanghai Institute of Optics and Fine Mechanics (SIOM),",,"January 1, 2026",s3://new-lwfa-not-sim-1/kb-data/output/Achieving_High_Efficiency_And_Enhanced_Beam_Quality_In_Laser_Wakefield_Acceleration/structured.json,
new-lwfa-not-sim-1,kb-data/output/All-optical_blast_wave_control_of_laser_wakefield_acceleration_in_near_critical_plasma,All-optical blast wave control of laser wakefield acceleration in near critical plasma,"I. Tsymbalov, 1, 2, ∗ D. Gorlova, 1, 2 K. Ivanov, 1, 3 E. Starodubtseva, 1 R. Volkov, 1 I.; Tsygvintsev, 4 Yu. Kochetkov, 5 Ph. Korneev, 5 A. Polonski, 2 and A. Savel'ev 1, 3; 1 Faculty of Physics, Lomonosov Moscow State University, 119991, Moscow, Russia",,,s3://new-lwfa-not-sim-1/kb-data/output/All-optical_blast_wave_control_of_laser_wakefield_acceleration_in_near_critical_plasma/structured.json,
new-lwfa-not-sim-1,kb-data/output/All-optical_source_size_and_emittance_measurements_of_laser-accelerated_electron_beams,All-optical source size and emittance measurements of laser-accelerated electron beams,"F. C. Salgado, 1, 2, 3, ∗ A. Kozan, 1, 2, 3 D. Seipt, 1, 2, 3 D. Hollatz, 1, 2, 3 P. Hilz, 1, 2, 3; M. Kaluza, 1, 2, 3 A. S¨ avert, 1, 2, 3 A. Seidel, 1, 2, 3 D. Ullmann, 1, 2, 3 Y. Zhao, 1, 2, 3 and M. Zepf 1, 2, 3; Institute of Optics and Quantum Electronics, Friedrich-Schiller-Universit¨ at, Max-Wien-Platz 1, 07743 Jena, Germany",1901.10370,"July 1, 2024",s3://new-lwfa-not-sim-1/kb-data/output/All-optical_source_size_and_emittance_measurements_of_laser-accelerated_electron_beams/structured.json,
new-lwfa-not-sim-1,kb-data/output/An_Overview_of_Recent_Progress_in_Laser_Wakefield_Acceleration_Experiments,An Overview of Recent Progress in Laser Wakefield Acceleration Experiments,"John Adams Institute for Accelerator Science, Blackett Laboratory, Imperial College London, UK; This paper will examine how the maximum achievable beam energy has progressed over the last decade, and will use a set of published results [5-9,15-60] to try to understand some of the physics behind",,,s3://new-lwfa-not-sim-1/kb-data/output/An_Overview_of_Recent_Progress_in_Laser_Wakefield_Acceleration_Experiments/structured.json,
new-lwfa-not-sim-1,kb-data/output/Analytic_model_of_stable_shock-like_structures_in_laser_interaction_with_underdense_plasma_for_identifying_of_phase_and_polarization_dependent_regime_of_laser_wakefield_accelerators,Analytic model of stable shock-like structures in laser interaction with underdense plasma for identifying of phase and polarization dependent regime of laser wakefield accelerators,"Junjue Liao 1 , Jihoon Kim 2 , and Gennady Shvets 2; 1 Zhiyuan College, Shanghai Jiao Tong University, Shanghai 200240, China and; 2 School of Applied and Engineering Physics, Cornell University, Ithaca, NY 14850, United States of America",,"October 24, 2024",s3://new-lwfa-not-sim-1/kb-data/output/Analytic_model_of_stable_shock-like_structures_in_laser_interaction_with_underdense_plasma_for_identifying_of_phase_and_polarization_dependent_regime_of_laser_wakefield_accelerators/structured.json,
